etiqueta,dalvik_pss_kb,dalvik_alloc_kb,native_pss_kb,total_pss_kb,views,viewroot,activities,appcontexts,assets,bitmap_n,bitmap_kb,hilos,okhttp_disp,okhttp_task
00-antes,23247,20229,509645,769745,685,1,1,6,21,126,11340,75,0,3
01-buscar,26367,20277,510861,776163,704,1,1,6,21,90,7023,77,0,3
02-avisos,33503,23173,528045,800874,1384,1,1,6,21,191,7162,79,2,4
03-carnet,28527,22741,534493,805898,1380,1,1,6,21,139,7028,79,2,4
04-nexo,28879,22997,533677,805834,1439,1,1,6,21,144,7038,79,2,4
05-adoptar,30591,23477,538925,814795,1503,1,1,6,21,151,7561,86,2,5
06-antiparasitario,31503,23829,544205,824515,1579,1,1,6,21,155,7560,85,2,5
07-recuerdo,30879,23925,545853,829075,1616,1,1,6,21,162,7592,86,2,5
08-postventa_mis-casos,41951,24576,563437,858467,2127,1,1,6,21,269,8098,92,3,8
09-cuenta_perfil,34079,22773,605661,895679,1137,1,1,6,21,254,9818,92,3,8
10-cuenta_facturas,30879,21493,568685,859087,894,1,1,6,21,177,10244,91,3,8
