n,etiqueta,pid,dalvik_pss_kb,dalvik_alloc_kb,native_pss_kb,native_alloc_kb,total_pss_kb,views,viewroot,activities,appcontexts,assets,bitmap_n,bitmap_kb,hilos,okhttp_disp,okhttp_task
0,fresco,23947,34087,20070,533187,543582,805476,1132,1,1,6,21,170,11347,106,12,15
1,tap-tab0,23947,19831,19750,528227,532899,786295,1123,1,1,6,21,170,11347,106,12,15
2,tap-tab1,23947,22743,20470,570995,581265,832103,1280,1,1,6,21,164,9470,107,12,15
3,tap-tab2,23947,28343,24477,627443,633583,909267,2292,1,1,6,21,249,48216,111,12,15
4,tap-tab3,23947,41895,25388,654323,664315,950867,2531,1,1,6,21,276,49097,110,12,15
5,tap-tab4,23947,28247,26028,654403,664567,937075,2782,1,1,6,21,300,49412,109,12,15
6,tap-tab0,23947,29111,26812,627539,633981,913683,2782,1,1,6,21,304,51117,113,11,15
7,tap-tab1,23947,46327,26444,670083,682290,976819,2782,1,1,6,21,318,49242,112,11,15
8,tap-tab2,23947,25751,25964,629043,629858,917059,2782,1,1,6,21,296,49694,106,7,15
9,tap-tab3,23947,41367,26284,675187,683193,978963,2782,1,1,6,21,331,49102,105,7,15
10,tap-tab4,23947,26887,25964,668771,672316,957843,2782,1,1,6,21,310,49413,105,7,15
11,tap-tab0,23947,35031,26668,637699,642113,935587,2782,1,1,6,21,339,51120,107,7,16
12,tap-tab1,23947,44023,26412,673859,683676,981315,2782,1,1,6,21,314,49242,107,7,16
13,tap-tab2,23947,37639,26364,651827,658611,955891,2782,1,1,6,21,327,49697,107,7,16
14,tap-tab3,23947,41847,26636,684435,697236,995987,2782,1,1,6,21,329,49102,106,7,16
15,tap-tab4,23947,27255,26316,679507,687660,977267,2782,1,1,6,21,330,49415,106,7,16
16,tap-tab0,23947,43767,20740,678963,680335,1000019,1035,1,1,6,21,335,49011,107,2,16
17,tap-tab1,23947,35767,22004,663651,665590,978291,1636,1,1,6,21,248,49226,108,7,16
18,tap-tab2,23947,31639,25652,671107,669747,987939,2648,1,1,6,21,290,49693,107,7,16
19,tap-tab3,23947,43415,26388,707475,713041,1035955,2887,1,1,6,21,312,49100,106,7,16
20,tap-tab4,23947,29111,27012,709411,716237,1023395,3138,1,1,6,21,328,49415,106,7,16
21,tap-tab0,23947,39895,27780,678579,687759,1003650,3154,1,1,6,21,337,51043,108,7,16
22,tap-tab1,23947,40599,27428,705507,705980,1027426,3220,1,1,6,21,326,49243,107,7,16
23,tap-tab2,23947,40471,27316,673075,671881,994978,3220,1,1,6,21,338,49698,107,7,16
24,tap-tab3,23947,42535,27572,705603,711123,1029938,3220,1,1,6,21,369,49106,106,7,16
25,tap-tab4,23947,28183,27284,705539,707175,1015282,3220,1,1,6,21,342,49416,106,7,16
26,tap-tab0,23947,14407,29012,672195,674779,970930,3220,1,1,6,21,346,51121,108,7,16
27,tap-tab1,23947,50951,23652,679779,678108,1016754,1849,1,1,6,21,373,50986,107,7,16
28,tap-tab2,23947,39079,26852,698755,696505,1026946,3011,1,1,6,21,330,49697,106,7,15
29,tap-tab3,23947,26519,26964,693091,691980,1004114,3250,1,1,6,21,324,49101,105,7,15
30,tap-tab4,23947,29831,28020,739827,746366,1054178,3501,1,1,6,21,398,49422,105,7,15
31,tap-tab0,23947,36759,28260,703299,708623,1024978,3501,1,1,6,21,409,51127,107,7,15
32,tap-tab1,23947,41703,28996,746003,757837,1072466,3658,1,1,6,21,392,49249,106,7,15
33,tap-tab2,23947,41543,28916,716931,726430,1043362,3658,1,1,6,21,392,49703,106,7,15
34,tap-tab3,23947,44471,29188,752675,765558,1083186,3658,1,1,6,21,411,49110,105,7,15
35,tap-tab4,23947,29751,28852,746163,753089,1062770,3658,1,1,6,21,411,49423,105,7,15
36,tap-tab0,23947,35207,29908,706339,701801,1029666,3658,1,1,6,21,414,51127,106,6,15
37,tap-tab1,23947,43479,29012,738643,741370,1070130,3658,1,1,6,21,368,49247,106,7,15
38,tap-tab2,23947,42311,28932,712387,712760,1042802,3658,1,1,6,21,402,49704,106,7,15
39,tap-tab3,23947,44583,29268,743923,754120,1076818,3662,2,1,6,21,412,49110,106,7,15
40,tap-tab4,23947,49351,27172,741923,749320,1090930,2796,1,1,6,21,415,49423,106,7,15
