nav,etiqueta,pid,dalvik_pss_kb,dalvik_alloc_kb,native_pss_kb,native_alloc_kb,total_pss_kb,views,viewroot,activities,appcontexts,assets,bitmap_n,bitmap_kb,hilos,okhttp_disp,okhttp_task
0,00-fresco,25616,24135,18214,507155,515371,764918,685,1,1,6,21,124,10890,96,11,9
1,adoptar,25616,25927,18598,512723,520701,774420,749,1,1,6,21,90,7085,103,12,9
2,adoptar_refugios,25616,24791,18726,516307,524683,777399,781,1,1,6,21,96,8993,102,12,9
3,adoptar_solicitudes,25616,25255,18934,519027,527913,780983,832,1,1,6,21,96,7085,102,12,9
4,antiparasitario,25616,27415,19158,523347,529377,789511,908,1,1,6,21,101,7095,103,12,9
5,avisos,25616,32263,21958,540195,550083,811287,1588,1,1,6,21,202,7235,101,12,9
6,buscar,25616,28343,21782,542611,550128,811730,1607,1,1,6,21,157,7110,102,11,9
7,carnet,25616,27655,21798,547971,555231,819298,1603,1,1,6,21,155,7110,90,3,6
8,cuenta,25616,30647,19702,591603,599583,869042,963,1,1,6,21,253,9738,90,3,6
9,cuenta_ayuda,25616,25655,19302,547091,549230,821378,995,1,1,6,21,134,9361,90,4,6
10,cuenta_datos-facturacion,25616,25975,19622,546819,552300,821767,1044,1,1,6,21,137,9325,91,3,6
11,cuenta_direccion,25616,36886,34490,574051,583840,881632,1110,1,1,20,28,185,10273,140,3,6
12,cuenta_documentos,25616,42614,40650,615331,616604,932128,2872,1,1,20,28,567,13000,132,4,6
13,cuenta_exportar,25616,46006,40858,616115,620325,934976,2896,1,1,20,28,384,10593,126,4,6
14,cuenta_facturas,25616,48550,41658,621779,631551,943231,3062,1,1,20,28,409,11066,126,4,6
15,cuenta_familia,25616,48854,41834,625267,635171,948031,3111,1,1,20,28,406,10631,127,4,6
16,cuenta_medios,25616,48838,41978,626755,630135,951103,3162,1,1,20,28,409,10641,126,4,6
17,cuenta_pagos,25616,57862,50042,668579,681491,1009087,4683,1,1,20,28,402,9716,126,4,6
18,cuenta_perfil,25616,56582,49610,674643,686304,1019231,4752,1,1,20,28,413,10615,127,4,6
19,cuenta_preferencias,25616,59206,50410,677555,683379,1030597,4901,1,1,20,28,414,10615,132,8,6
20,cuenta_recurrentes,25616,62118,50810,681283,689395,1037397,5005,1,1,20,28,419,10762,132,8,6
21,cuenta_seguridad,25616,58998,50986,682243,692347,1035367,5056,1,1,20,28,430,10804,131,8,6
22,despensa,25616,58598,55114,778163,782774,1152423,6068,1,1,20,28,532,51145,134,8,6
23,despensa_carrito,25616,63030,54970,773011,777979,1153783,6060,1,1,20,28,503,49583,133,8,6
24,despensa_checkout,25616,62710,55018,774243,781800,1155030,6085,1,1,20,28,504,49583,134,8,6
25,despensa_reclamo,25616,68150,55754,783331,795706,1170800,6278,1,1,20,28,543,52708,140,9,14
26,explorar,25616,65990,56346,830531,845638,1216798,6435,1,1,20,28,588,52930,141,9,14
27,explorar_adiestramiento,25616,72774,57194,829667,844950,1232766,6603,1,1,20,28,573,53005,140,8,14
28,explorar_adiestramiento_checkout,25616,67686,57322,818771,815661,1223278,6648,1,1,20,28,574,52125,140,8,14
29,explorar_adiestramiento_confirmar-programa,25616,67846,57754,821795,823219,1226766,6744,1,1,20,28,587,53025,140,8,14
30,explorar_adiestramiento_disponibles,25616,66022,57818,822883,825543,1226094,6771,1,1,20,28,586,52997,139,8,14
31,explorar_grooming,25616,74070,58666,834611,842724,1246702,6958,1,1,20,28,609,53400,139,8,14
32,explorar_grooming_checkout,25616,68950,58922,837587,848915,1244622,7003,1,1,20,28,610,52520,140,8,14
33,explorar_grooming_disponibles,25616,67478,59066,842403,853800,1248206,7060,1,1,20,28,615,53382,139,8,14
34,explorar_guarderia,25616,69254,59562,856115,868064,1272814,7165,1,1,20,28,622,53427,139,8,14
35,explorar_guarderia_checkout,25616,68774,59466,850611,842849,1274222,7173,1,1,20,28,618,52520,140,8,14
36,explorar_guarderia_disponibles,25616,67622,59610,852003,848055,1274750,7223,1,1,20,28,623,53383,139,8,14
37,explorar_paseo,25616,77670,60954,865907,871582,1299822,7473,1,1,20,28,646,53742,140,8,14
38,explorar_paseo_checkout,25616,82486,61146,869443,876764,1307870,7522,1,1,20,28,645,52836,142,8,14
39,explorar_paseo_checkout-paquete,25616,71174,61434,870947,881324,1298414,7591,1,1,20,28,652,52846,141,8,12
40,explorar_paseo_checkout-plan,25616,71702,61786,877187,891064,1307438,7662,1,1,20,28,659,52857,138,7,12
41,explorar_paseo_disponibles,25616,71814,61978,884355,898734,1322494,7720,1,1,20,28,664,53718,138,7,12
42,explorar_paseo_paquete,25616,72022,61914,879971,868938,1325390,7744,1,1,20,28,665,53718,137,7,12
43,explorar_veterinaria,25616,78630,62570,882435,879684,1338590,7897,1,1,20,28,696,54262,138,7,12
44,explorar_veterinaria_checkout,25616,63302,62618,885123,882751,1325678,7942,1,1,20,28,697,53382,138,7,12
45,explorar_veterinaria_disponibles,25616,73574,63066,890067,895766,1341835,8010,1,1,20,28,704,54247,139,8,12
46,guarderia_documentos,25616,72870,63098,891539,899251,1342683,8042,1,1,20,28,698,52028,139,8,12
47,hogar,25616,71158,63130,903907,911975,1353531,8010,1,1,20,28,781,56348,143,9,14
48,hogar_adiestramiento,25616,63494,64394,910403,919758,1353035,8332,1,1,20,28,753,54738,142,9,14
49,hogar_agregar,25616,73270,64682,916403,925842,1376219,8412,1,1,20,28,753,55685,142,9,14
50,hogar_bitacora,25616,70758,70890,914627,895003,1374779,8445,1,1,20,28,756,55747,142,9,14
51,hogar_foto-mascota,25616,72326,64490,914547,900379,1376331,8468,1,1,20,28,756,55685,141,9,14
52,hogar_grooming,25616,71590,65226,918563,912082,1379803,8655,1,1,20,28,789,56133,142,9,14
53,hogar_guarderia,25616,80918,66010,924451,922773,1395067,8866,1,1,20,28,821,56552,142,10,14
54,hogar_mascota_despedida,25616,65798,66074,926339,928162,1381931,8883,1,1,20,28,814,56428,142,9,14
55,hogar_mascota_documentos,25616,69430,66378,930739,935872,1390091,8962,1,1,20,28,832,56535,141,9,14
56,hogar_mascota_pasaporte,25616,80262,66442,934051,941490,1404315,8978,1,1,20,28,825,56539,141,10,14
57,hogar_paseos,25616,83686,68586,952931,968791,1437451,9485,1,1,20,28,916,57217,142,9,14
58,hogar_veterinaria,25616,74678,69066,957203,943540,1437051,9679,1,1,20,28,913,57362,145,8,14
59,nexo,25616,82566,69210,959731,949495,1448283,9708,1,1,20,28,905,55051,144,8,14
60,pagos_alta-tarjeta,25616,71894,69210,961251,958893,1438699,9712,1,1,20,28,902,55051,143,8,14
61,pagos_deuna-ensayo,25616,71382,69434,964915,967201,1441851,9759,1,1,20,28,905,55060,142,7,14
62,pagos_mensualidad,25616,82102,69450,965923,971716,1453611,9770,1,1,20,28,903,55035,142,7,14
63,pedidos,25616,90966,75338,984723,999516,1476651,9919,1,1,20,28,951,57570,142,7,14
64,postventa_mis-casos,25616,71126,72186,997203,1012685,1478059,10429,1,1,20,28,1016,55778,143,7,14
65,postventa_motivo,25616,79158,72170,997347,971301,1491707,10446,1,1,20,28,969,55256,142,7,14
66,recuerdo,25616,78438,72330,997443,978035,1493051,10483,1,1,20,28,976,55288,143,7,14
