grupo,nav,etiqueta,pid,dalvik_pss_kb,dalvik_alloc_kb,native_pss_kb,native_alloc_kb,total_pss_kb,views,viewroot,activities,appcontexts,assets,bitmap_n,bitmap_kb,hilos,okhttp_disp,okhttp_task
base,0,fresco,17259,25207,18262,508579,516723,763965,685,1,1,6,21,126,11340,100,12,12
sinmapa,1,hogar,17259,20519,18390,559619,566168,815705,743,1,1,6,21,103,48824,104,13,13
sinmapa,2,hogar,17259,26919,19286,568803,577479,834409,965,1,1,6,21,161,51356,105,13,13
sinmapa,3,citas,17259,29943,19366,573475,581478,844393,955,1,1,6,21,122,9446,106,14,13
sinmapa,4,citas,17259,31847,19334,572899,576214,849929,1005,1,1,6,21,120,9446,105,14,13
sinmapa,5,hogar,17259,23239,19206,576227,580522,847721,978,1,1,6,21,128,10827,105,14,13
sinmapa,6,hogar,17259,24615,18550,578995,584225,852441,743,1,1,6,21,105,50040,106,14,13
sinmapa,7,hogar,17259,28231,19286,580451,583331,858953,965,1,1,6,21,161,51356,103,11,13
sinmapa,8,citas,17259,30263,19302,579731,586072,859689,955,1,1,6,21,119,9446,101,9,13
sinmapa,9,citas,17259,23479,19398,580947,587562,854809,1005,1,1,6,21,120,9446,99,8,13
sinmapa,10,hogar,17259,28167,19526,584467,594847,863065,978,1,1,6,21,128,10827,100,8,13
sinmapa,11,hogar,17259,26039,18518,584643,584011,867897,743,1,1,6,21,124,50041,99,8,13
sinmapa,12,hogar,17259,27639,19430,590691,596547,875673,965,1,1,6,21,161,51356,100,8,13
sinmapa,13,citas,17259,29975,19526,593699,601156,880969,955,1,1,6,21,119,9446,100,8,13
sinmapa,14,citas,17259,33047,19398,586371,587499,876809,1005,1,1,6,21,120,9446,99,8,13
sinmapa,15,hogar,17259,28055,19430,588915,592868,874361,978,1,1,6,21,128,10827,100,8,13
conmapa,16,prestador,17259,48438,32170,619315,629430,943910,1047,1,1,20,28,178,10381,132,8,13
conmapa,17,prestador,17259,39030,32426,620259,631397,934182,1076,1,1,20,28,179,10381,122,8,12
conmapa,18,prestador,17259,47430,33466,646835,659151,970054,1136,1,1,20,28,192,10461,132,8,12
conmapa,19,explorar,17259,40102,34634,648435,657181,964502,1132,1,1,20,28,252,13595,130,8,12
conmapa,20,explorar,17259,41094,29354,634851,636543,950886,1057,1,1,20,28,190,12611,123,8,12
conmapa,21,prestador,17259,40646,32282,647091,645757,963142,1089,1,1,20,28,179,10381,132,8,12
conmapa,22,prestador,17259,39206,32554,647283,649308,961238,1118,1,1,20,28,180,10381,122,8,10
conmapa,23,prestador,17259,46502,33514,668899,676649,990774,1178,1,1,20,28,193,10462,132,8,9
conmapa,24,explorar,17259,41078,34538,666723,670633,983142,1132,1,1,20,28,219,12661,130,8,9
conmapa,25,explorar,17259,46598,31214,654307,651758,976038,1074,1,1,20,28,208,12652,128,7,9
conmapa,26,prestador,17259,36310,32314,671475,677575,983094,1089,1,1,20,28,179,10381,131,7,9
conmapa,27,prestador,17259,39222,32570,672899,681046,986406,1118,1,1,20,28,180,10381,121,3,9
conmapa,28,prestador,17259,47686,33594,696531,708407,1019062,1178,1,1,20,28,193,10462,130,3,9
conmapa,29,explorar,17259,43494,34570,695491,703379,1014358,1132,1,1,20,28,272,14186,129,3,9
conmapa,30,explorar,17259,40390,31114,681795,669603,1000326,1074,1,1,20,28,201,12644,146,3,9
